File Name,Flagged,Sample Rate (Hz),Onset (s),Peak Time (s),Peak-Onset Lag (ms),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
scam_0037_0670224261_699_ca0_scam01037_hedgehog_____________01p01.wav,False,100000,0.07044,0.07054,0.1,-2074.302191443846,0.9362933247039609,0.003856718675320635,12.181746184621247,10066.146467890476,11260.038699131284,4900.0,11600.0,12026252039.204283,1423512951.064242,0.11836713104163653,0.03726973599589293,38194876164.96964
scam_0037_0670224376_725_ca0_scam01037_hedgehog_____________02p01.wav,True,100000,0.06829,0.07073,2.44,-7764.652042503805,0.9611140538896656,0.0010303101743913182,-14.185346063608783,6159.610000214238,3158.951163276147,4500.0,8700.0,775150790386.5442,57304482232.40683,0.07392688357297658,0.06796706029287451,843121388294.2423
scam_0051_0671472287_263_ca0_scam04051_tselhbahih___________01p01.wav,False,100000,0.07015,0.07025,0.1,-1285.0515563907331,0.8676399853125879,0.006225431158940612,11.98192441454112,7981.68683168288,8823.743572432433,4200.0,10400.0,29475760349.33848,4561196521.883475,0.15474398176079082,0.04100742803415409,111228544206.29759
scam_0051_0671472426_181_ca0_scam04051_tselhbahih___________02p01.wav,False,100000,0.07017,0.07027,0.1,-5037.960484796535,0.9429603697638026,0.0015879441738660424,16.838708677651137,10981.154410704523,11915.544605853584,5300.0,17200.0,17303271475.560303,3576139289.6114545,0.20667417110472483,0.1386458086985244,25793345815.36121
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,True,100000,0.06956,0.07141,1.85,-1972.39509989767,0.9717513540358079,0.004055982495806773,-1.8285898047621405,5814.32591286036,5056.568105951832,4600.0,8200.0,189971006394.38968,26226628871.707607,0.1380559558507563,0.11504118546432408,227975996299.52405
scam_0071_0673238205_695_ca0_scam05071_hadahastsaa__________02p01.wav,True,100000,0.07146,0.07146,0.0,-1765.439119250806,0.9066721308718871,0.004531450511527656,11.806206004500158,9914.76050895143,10870.284901053528,4500.0,18500.0,29675484254.18811,4930997998.59725,0.16616402806978076,0.11720358744371567,42072073953.92439
scam_0078_0673870312_124_ca0_scam02078_nataani_depth________01p01.wav,False,100000,0.06932,0.06937,0.05,-3815.886126568801,0.8916854740228475,0.0020964986204117953,14.414281989725326,6719.986871288976,7319.70695081875,4000.0,9200.0,26327123149.149387,2040803130.8262215,0.0775171339179214,0.034799055270568806,58645360196.092
scam_0078_0673870408_155_ca0_scam02078_nataani_depth________02p01.wav,False,100000,0.06935,0.06975,0.4,-2872.936899825405,0.9416550334178415,0.0027846069297540713,12.246485870226142,8347.228718094542,8979.848652540304,4200.0,9600.0,26737953236.539326,2230057964.247126,0.08340421364787161,0.06600011490022609,33788698210.879738
scam_0083_0674316850_990_ca0_scam05083_nataani_depth_2______01p01.wav,False,100000,0.06924,0.06935,0.11,-935.3472239708203,0.8488943349536402,0.008552973478702037,12.087570578382854,7691.4551845748965,8003.934406513075,4100.0,9500.0,25657386527.30938,2488818801.4862413,0.09700203872429392,0.07315605922475558,34020678913.825905
scam_0083_0674316946_966_ca0_scam05083_nataani_depth_2______02p01.wav,False,100000,0.0694,0.06951,0.11,-2729.501767094077,0.8471593933908372,0.0029309378350456535,14.71526031396003,9157.611653352378,10684.522230364411,4100.0,11000.0,19287489780.481194,2307261541.824864,0.11962477067180596,0.07788592171860197,29623601941.32243
