File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method
scam_0107_0676443644_665_ca0_scam02107_ad_ilidi_____________02p01.wav,Maaz,Nataani,0.07067,-3366.973171,0.9334652118,0.002376021309,13.33335535,9227.898626,9366.831455,5900,10800,12978750165,1663894681,0.128201457,0.07273860168,22874988556,wider 3 sigma
scam_0108_0676523575_279_ca0_scam01108_jih__________________01p01.wav,Maaz,Nataani,0.08247,-5008.779198,0.947788468,0.001597195581,4.358348599,10185.83947,10557.60079,4100,18800,8845278867,2099841184,0.2373968323,0.04031428166,52086781589,wider 3 sigma
scam_0108_0676523622_180_ca0_scam01108_jih__________________02p01.wav,Maaz,Nataani,0.08256,-489.9000194,0.7067750245,0.01632986259,7.633271525,8925.026421,10777.80228,1900,15300,24435107411,4238094226,0.1734428318,0.02010391626,210809385114,wider 3p5 sigma
scam_0109_0676611485_649_ca0_scam01109_haa_ii_aah___________01p01.wav,Maaz,Cha'al,0.07529,-785.0205844,0.9584794996,0.01019081558,9.825087231,7478.663256,6087.70743,4900,9100,5651756965,548414352.6,0.09703431269,0.07961167511,6888617176,
scam_0109_0676611633_623_ca0_scam01109_haa_ii_aah___________02p01.wav,Maaz,Cha'al,0.07524,-8535.201453,0.6405987057,0.0009372948071,17.8101729,7159.326332,5818.691271,6500,8700,9565344845,745640424,0.07795227836,0.06705029493,11120613634,
scam_0109_0676613675_828_ca0_scam02109_ba_ol_tai____________01p01.wav,Maaz,Cha'al,0.07173,-2116.539082,0.8266277071,0.003779755389,13.16362871,11272.97669,11420.05812,5600,25100,18022208749,3336312350,0.1851222786,0.1256362478,26555332618,
scam_0109_0676613823_852_ca0_scam02109_ba_ol_tai____________02p01.wav,Maaz,Cha'al,0.07168,-9813.978658,0.9768379707,0.0008151637861,16.99524864,8844.750331,8509.99943,6700,9900,31960073772,3420756709,0.1070321906,0.08869714176,38566707349,
scam_0110_0676702998_588_ca0_scam03110_naakih_tsaadah_______01p01.wav,Maaz,Cha'al,0.0814,-320.0472817,0.6051354979,0.02499630667,8.996149308,9973.016743,9461.275554,6000,17400,15053961811,4753480232,0.3157627402,0.1101826146,43141835465,very wide soft
scam_0112_0676881366_146_ca0_scam02112_tseebii______________01p01.wav,Maaz,Cha'al,0.07165,-2611.240495,0.9060837096,0.003063677978,13.47902223,6464.67898,3079.225767,6600,8400,58008815564,5395624199,0.09301386603,0.05988362318,90101832731,Original
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,Maaz,Cha'al,0.07155,-1207.49283,0.7449097223,0.006625298141,12.89296954,5310.904586,3496.469044,6000,7500,55948225343,1964290169,0.03510907016,0.01538136636,127705830759,Original
scam_0112_0676883855_357_ca0_scam04112_da_deest_lin_________01p01.wav,Maaz,Rochette,0.06939,-2452.323619,0.8956469898,0.003262212188,14.79032486,6455.474751,5569.626481,3900,9000,41303004370,3080099706,0.07457326054,0.06118984227,50336781262,
scam_0112_0676884005_337_ca0_scam04112_da_deest_lin_________02p01.wav,Maaz,Rochette,0.06929,-1993.259165,0.7658691799,0.004013527262,13.30349775,6606.227847,5565.342735,5500,8600,30009028675,1749593126,0.05830222448,0.05347765587,32716339146,
scam_0127_0678209085_589_ca0_scam01127_kad__________________01p01.wav,Maaz,Nataani,0.0782,-5876.048094,0.7642724279,0.001361459245,15.87658019,7307.760545,7352.45807,6700,8700,16868444286,1639234296,0.09717756233,0.05691642131,28800726716,wider 3 sigma
scam_0127_0678209236_599_ca0_scam01127_kad__________________02p01.wav,Maaz,Nataani,0.0749,-1169.053518,0.8893885558,0.006843142657,-5.808387076,6266.397438,3751.663648,4200,9300,581012366294,79195939850,0.1363068059,0.05256451814,1506642553909,
scam_0130_0678474080_623_ca0_scam01130_raton________________01p01.wav,Maaz,Rochette,0.07419,-2874.00094,0.9049885537,0.002783575986,3.708788749,4950.069775,6262.119914,1000,8100,31454320500,2425814839,0.07712183255,0.003122277244,776937680143,
scam_0130_0678474243_649_ca0_scam01130_raton________________02p01.wav,Maaz,Rochette,0.07412,-6046.567161,0.9511201255,0.001323064772,17.39331064,6418.539587,6077.022097,4600,8100,11506116932,980533426.5,0.08521844792,0.05318835649,18435114211,
