File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method,Flagged,Sample Rate (Hz),Peak Time (s),Peak-Onset Lag (ms),Pass2 Expected Time (s),Region,Dataset Source,Processing Version
scam_0086_0674573256_865_ca0_scam05086_naatsiilid___________02p01.wav,Maaz,Nataani,0.07446,-637.2660834,0.4619361667,0.01255362588,6.573052167,4753.896678,3645.938263,1000.0,6500.0,60268465737.0,1111880929.0,0.01844880097,0.004882492403,227728143276.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0087_0674660453_555_ca0_scam01087_hastah_tsaadah_______01p01.wav,Maaz,Nataani,0.07004,-2779.47471,0.9153417616,0.002878241695,7.456760179,8569.348632,7334.611764,4300.0,10000.0,39493222432.0,5541908710.0,0.1403255639,0.08741321741,63398978709.0,,,,,,,Crater Floor,Crater Floor,
scam_0087_0674660597_663_ca0_scam01087_hastah_tsaadah_______02p01.wav,Maaz,Nataani,0.06985,-1219.780985,0.7170763042,0.006558554442,7.311374951,8461.389437,7474.92415,4200.0,9800.0,112755751675.0,13065218887.0,0.1158718619,0.08255737686,158256225957.0,,,,,,,Crater Floor,Crater Floor,
scam_0088_0674752882_228_ca0_scam01088_tsostid_tsaadah______01p01.wav,Maaz,Nataani,0.07011,-4031.196338,0.7616094839,0.001984522541,17.05740549,7543.580133,5319.651128,5300.0,10400.0,47737543235.0,10080637567.0,0.211167917,0.1594602292,63217252452.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0088_0674753028_122_ca0_scam01088_tsostid_tsaadah______02p01.wav,Maaz,Nataani,0.06997,-1081.782926,0.6152312194,0.007395198989,11.32567624,7203.816395,5995.922749,5400.0,9300.0,109435929995.0,9289045079.0,0.08488112707,0.05063754003,183441870856.0,,,,,,,Crater Floor,Crater Floor,
scam_0089_0674854133_584_ca0_scam01089_taa-ihaaih___________02p01.wav,Maaz,Nataani,0.07436,-1364.31381,0.8263931135,0.005863753588,12.01022966,5601.875964,2189.34928,4500.0,7400.0,227685563445.0,6626412234.0,0.0291033482,0.02597407795,255116360516.0,,,,,,,Crater Floor,Crater Floor,
scam_0094_0675281444_789_ca0_scam02094_neeznaa_2____________01p01.wav,Maaz,Nataani,0.07077,-3816.556487,0.9864948198,0.00209613038,14.37549409,9477.281948,9607.62371,5900.0,11300.0,36297233879.0,4528454224.0,0.124760312,0.06751122874,67077052336.0,,,,,,,Crater Floor,Crater Floor,
scam_0094_0675281589_795_ca0_scam02094_neeznaa_2____________02p01.wav,Maaz,Nataani,0.07059,-4161.557711,0.9776374134,0.001922357097,12.71745687,7911.44607,7552.296205,5000.0,9400.0,45857168495.0,4902390549.0,0.1069056531,0.09011281554,54402811850.0,,,,,,,Crater Floor,Crater Floor,
scam_0095_0675396050_573_ca0_scam01095_ashdla_______________01p01.wav,Maaz,Nataani,0.07149,-5790.672102,0.9270691622,0.001381532205,14.65492288,7615.771491,6589.980169,4300.0,9800.0,67176269500.0,9081657865.0,0.1351914587,0.09247488562,98206748832.0,,,,,,,Crater Floor,Crater Floor,
scam_0095_0675396241_617_ca0_scam01095_ashdla_______________02p01.wav,Maaz,Nataani,0.07152,-7402.253606,0.9286420785,0.001080751947,16.41883943,9039.259965,9211.373179,4300.0,10200.0,52033539858.0,9299700164.0,0.1787251106,0.1214840628,76550783255.0,,,,,,,Crater Floor,Crater Floor,
scam_0098_0675643472_605_ca0_scam01098_ashdla_2_____________01p01.wav,Maaz,Nataani,0.07117,-386.7453971,0.7174508354,0.02068544334,9.949667862,8151.989471,7572.239202,7700.0,9600.0,31262128173.0,3698587107.0,0.1183088716,0.06634720767,55745934712.0,,,,,,,Crater Floor,Crater Floor,
scam_0098_0675643518_573_ca0_scam01098_ashdla_2_____________02p01.wav,Maaz,Nataani,0.07102,-4486.61782,0.968361032,0.001783080334,14.02769555,10024.57258,11414.04088,4300.0,12500.0,37744685011.0,4347689724.0,0.1151868064,0.06911389337,62906161300.0,,,,,,,Crater Floor,Crater Floor,
scam_0104_0676170689_569_ca0_scam05104_ad_ees_eez___________02p01.wav,Maaz,Nataani,0.07696,-1743.415609,0.908605874,0.004588693572,-0.4851438001,6828.489947,6031.620146,6700.0,8800.0,2517828735.0,276700160.0,0.1098963389,0.002414332736,114607301603.0,,,,,,,Crater Floor,Crater Floor,
scam_0107_0676443598_669_ca0_scam02107_ad_ilidi_____________01p01.wav,Maaz,Nataani,0.07083,-2318.129453,0.8949420468,0.003451058348,4.284353582,10338.57312,10830.7446,6400.0,16800.0,10948251075.0,1784439619.0,0.1629885547,0.04361494312,40913491837.0,,,,,,,Crater Floor,Crater Floor,
scam_0107_0676443644_665_ca0_scam02107_ad_ilidi_____________02p01.wav,Maaz,Nataani,0.07067,-3366.973171,0.9334652118,0.002376021309,13.33335535,9227.898626,9366.831455,5900.0,10800.0,12978750165.0,1663894681.0,0.128201457,0.07273860168,22874988556.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0108_0676523575_279_ca0_scam01108_jih__________________01p01.wav,Maaz,Nataani,0.08247,-5008.779198,0.947788468,0.001597195581,4.358348599,10185.83947,10557.60079,4100.0,18800.0,8845278867.0,2099841184.0,0.2373968323,0.04031428166,52086781589.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0108_0676523622_180_ca0_scam01108_jih__________________02p01.wav,Maaz,Nataani,0.08256,-489.9000194,0.7067750245,0.01632986259,7.633271525,8925.026421,10777.80228,1900.0,15300.0,24435107411.0,4238094226.0,0.1734428318,0.02010391626,210809385114.0,wider 3p5 sigma,,,,,,Crater Floor,Crater Floor,
scam_0109_0676611485_649_ca0_scam01109_haa_ii_aah___________01p01.wav,Maaz,Cha'al,0.07529,-785.0205844,0.9584794996,0.01019081558,9.825087231,7478.663256,6087.70743,4900.0,9100.0,5651756965.0,548414352.6,0.09703431269,0.07961167511,6888617176.0,,,,,,,Crater Floor,Crater Floor,
scam_0109_0676611633_623_ca0_scam01109_haa_ii_aah___________02p01.wav,Maaz,Cha'al,0.07524,-8535.201453,0.6405987057,0.0009372948071,17.8101729,7159.326332,5818.691271,6500.0,8700.0,9565344845.0,745640424.0,0.07795227836,0.06705029493,11120613634.0,,,,,,,Crater Floor,Crater Floor,
scam_0109_0676613675_828_ca0_scam02109_ba_ol_tai____________01p01.wav,Maaz,Cha'al,0.07173,-2116.539082,0.8266277071,0.003779755389,13.16362871,11272.97669,11420.05812,5600.0,25100.0,18022208749.0,3336312350.0,0.1851222786,0.1256362478,26555332618.0,,,,,,,Crater Floor,Crater Floor,
scam_0109_0676613823_852_ca0_scam02109_ba_ol_tai____________02p01.wav,Maaz,Cha'al,0.07168,-9813.978658,0.9768379707,0.0008151637861,16.99524864,8844.750331,8509.99943,6700.0,9900.0,31960073772.0,3420756709.0,0.1070321906,0.08869714176,38566707349.0,,,,,,,Crater Floor,Crater Floor,
scam_0110_0676702998_588_ca0_scam03110_naakih_tsaadah_______01p01.wav,Maaz,Cha'al,0.0814,-320.0472817,0.6051354979,0.02499630667,8.996149308,9973.016743,9461.275554,6000.0,17400.0,15053961811.0,4753480232.0,0.3157627402,0.1101826146,43141835465.0,very wide soft,,,,,,Crater Floor,Crater Floor,
scam_0112_0676881366_146_ca0_scam02112_tseebii______________01p01.wav,Maaz,Cha'al,0.07165,-2611.240495,0.9060837096,0.003063677978,13.47902223,6464.67898,3079.225767,6600.0,8400.0,58008815564.0,5395624199.0,0.09301386603,0.05988362318,90101832731.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,Maaz,Cha'al,0.07155,-1207.49283,0.7449097223,0.006625298141,12.89296954,5310.904586,3496.469044,6000.0,7500.0,55948225343.0,1964290169.0,0.03510907016,0.01538136636,127705830759.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0112_0676883855_357_ca0_scam04112_da_deest_lin_________01p01.wav,Maaz,Rochette,0.06939,-2452.323619,0.8956469898,0.003262212188,14.79032486,6455.474751,5569.626481,3900.0,9000.0,41303004370.0,3080099706.0,0.07457326054,0.06118984227,50336781262.0,,,,,,,Crater Floor,Crater Floor,
scam_0112_0676884005_337_ca0_scam04112_da_deest_lin_________02p01.wav,Maaz,Rochette,0.06929,-1993.259165,0.7658691799,0.004013527262,13.30349775,6606.227847,5565.342735,5500.0,8600.0,30009028675.0,1749593126.0,0.05830222448,0.05347765587,32716339146.0,,,,,,,Crater Floor,Crater Floor,
scam_0127_0678209085_589_ca0_scam01127_kad__________________01p01.wav,Maaz,Nataani,0.0782,-5876.048094,0.7642724279,0.001361459245,15.87658019,7307.760545,7352.45807,6700.0,8700.0,16868444286.0,1639234296.0,0.09717756233,0.05691642131,28800726716.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0127_0678209236_599_ca0_scam01127_kad__________________02p01.wav,Maaz,Nataani,0.0749,-1169.053518,0.8893885558,0.006843142657,-5.808387076,6266.397438,3751.663648,4200.0,9300.0,581012366294.0,79195939850.0,0.1363068059,0.05256451814,1506642553909.0,,,,,,,Crater Floor,Crater Floor,
scam_0130_0678474080_623_ca0_scam01130_raton________________01p01.wav,Maaz,Rochette,0.07419,-2874.00094,0.9049885537,0.002783575986,3.708788749,4950.069775,6262.119914,1000.0,8100.0,31454320500.0,2425814839.0,0.07712183255,0.003122277244,776937680143.0,,,,,,,Crater Floor,Crater Floor,
scam_0130_0678474243_649_ca0_scam01130_raton________________02p01.wav,Maaz,Rochette,0.07412,-6046.567161,0.9511201255,0.001323064772,17.39331064,6418.539587,6077.022097,4600.0,8100.0,11506116932.0,980533426.5,0.08521844792,0.05318835649,18435114211.0,,,,,,,Crater Floor,Crater Floor,
scam_0131_0678564491_671_ca0_scam04131_cheval_blanc_________01p01.wav,Maaz,Nataani,0.07911,-1206.731776,0.8700984829,0.006629476539,4.555248573,6780.460759,7215.135414,5000.0,9000.0,23537085884.0,2468077070.0,0.1048590757,0.0181998604,135609670418.0,wider 3p5 sigma,,,,,,Crater Floor,Crater Floor,
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,Maaz,Cha'al,0.07146,-8428.048718,0.9689368151,0.0009492114091,15.50988051,11078.99772,11396.28411,7700.0,15600.0,15903306021.0,1961953085.0,0.1233676245,0.08228418046,23843624302.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,Maaz,Cha'al,0.07151,-6666.385772,0.8952466631,0.001200050563,15.06103386,9920.928404,10362.7023,5700.0,11900.0,14873398661.0,2158330120.0,0.1451134451,0.110615137,19512068405.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0145_0679808185_665_ca0_scam01145_mont_brune___________01p01.wav,Maaz,Roubion,0.07337,-3198.208716,0.8854567288,0.002501400225,13.35528731,6436.055318,5296.866381,4200.0,8200.0,44114023014.0,3496052454.0,0.07925036564,0.06074785906,57550216710.0,,,,,,,Crater Floor,Crater Floor,
scam_0145_0679808360_602_ca0_scam01145_mont_brune___________02p01.wav,Maaz,Roubion,0.07324,-3882.33818,0.8519506293,0.002060613896,13.20207038,6355.765361,3753.312741,4300.0,9200.0,31139882940.0,3972540726.0,0.1275708304,0.1080731462,36757889131.0,,,,,,,Crater Floor,Crater Floor,
scam_0145_0679810656_933_ca0_scam02145_croix________________01p01.wav,Maaz,Roubion,0.07385,-3957.831569,0.9569697712,0.002021308856,14.43029939,7686.211282,5440.743827,7500.0,9900.0,28064728983.0,4341366542.0,0.1546911978,0.07128446861,60901997674.0,,,,,,,Crater Floor,Crater Floor,
scam_0145_0679810838_055_ca0_scam02145_croix________________02p01.wav,Maaz,Roubion,0.07397,-251.3690892,0.5585572937,0.03182571105,9.295305167,7578.249407,6761.418465,5100.0,9200.0,5976346928.0,723567095.3,0.1210718026,0.07807267001,9267866658.0,,,,,,,Crater Floor,Crater Floor,
scam_0147_0679984877_591_ca0_scam04147_pepin________________02p01.wav,Maaz,Rochette,0.06916,-628.1034851,0.8679835084,0.01273675468,7.255430313,8816.798598,7980.486615,2100.0,14000.0,12933694424.0,5663688438.0,0.4379018285,0.06846314763,82726088902.0,,,,,,,Crater Floor,Crater Floor,
scam_0148_0680099816_961_ca0_scam07148_gironde______________01p01.wav,Maaz,Roubion,0.06999,-1009.096195,0.9070050879,0.007927886396,9.381380309,6716.136677,6170.748795,5500.0,9100.0,101127811989.0,7531843117.0,0.07447845423,0.02415701004,311787059090.0,,,,,,,Crater Floor,Crater Floor,
scam_0151_0680342162_854_ca0_scam01151_charamel_____________01p01.wav,Maaz,Roubion,0.07535,-1180.886179,0.8527282378,0.006774573319,13.00843065,7188.039816,5690.034613,4600.0,8700.0,28781959644.0,2174411075.0,0.07554770774,0.04011597106,54203127038.0,,,,,,,Crater Floor,Crater Floor,
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,Maaz,Roubion,0.07527,-8975.706448,0.9467226971,0.0008912947461,-2.557406342,7180.489354,6920.790226,7200.0,9400.0,11845522114.0,1562504652.0,0.1319067777,0.004089175518,382107504281.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,Maaz,Roubion,0.07274,-1490.92317,0.9460044342,0.005365802989,2.169549696,7388.6743,6361.43404,6600.0,10300.0,10093418406.0,1625618132.0,0.1610572421,0.02749544267,59123184573.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,Maaz,Roubion,0.07266,-2917.440933,0.8582550339,0.00274212921,15.09112313,6077.016566,4396.750178,3900.0,8200.0,25230648474.0,1829504146.0,0.0725111821,0.056815246,32200936802.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0159_0681062010_914_ca0_scam04159_grand_coyer__________01p01.wav,Maaz,Roubion,0.07301,-1817.525969,0.824604827,0.004401587727,13.46160303,6494.38486,5432.624107,4400.0,9100.0,22693082345.0,2465721066.0,0.1086551853,0.08182859182,30132756921.0,,,,,,,Crater Floor,Crater Floor,
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,Maaz,Roubion,0.07299,-4090.253449,0.8292614602,0.001955869019,14.97006099,6985.862871,5213.522076,5400.0,9400.0,39177847793.0,3229528409.0,0.08243251202,0.06548354311,49318168444.0,Original,,,,,,Crater Floor,Crater Floor,
scam_0170_0682026146_745_ca0_scam01170_lattes_______________01p01.wav,Maaz,Artuby,0.07588,-4599.896383,0.9534801984,0.00173916961,15.86961935,6568.300516,5265.137567,6400.0,8400.0,22922832088.0,1554612330.0,0.06781938305,0.0375862729,41361172844.0,,,,,,,Crater Floor,Crater Floor,
scam_0173_0682295089_319_ca0_scam06173_entrevaux____________01p01.wav,Maaz,Artuby,0.07769,-19825.6949,0.9028732607,0.0004035167514,21.05489641,9102.767833,9539.339391,1500.0,13900.0,8894108238.0,1857149488.0,0.208806711,0.1457313319,12743652753.0,,,,,,,Crater Floor,Crater Floor,
scam_0173_0682295238_325_ca0_scam06173_entrevaux____________02p01.wav,Maaz,Artuby,0.07779,-1009.339341,0.9700376419,0.007925976602,10.13090661,8244.606775,8717.142201,2800.0,13900.0,16257605795.0,3261355367.0,0.2006048989,0.1481071155,22020247686.0,,,,,,,Crater Floor,Crater Floor,
scam_0181_0683003019_899_ca0_scam01181_manior_______________01p01.wav,Maaz,Rochette,0.06937,-1525.073456,0.9337294771,0.005245648968,11.62382733,8280.108132,8411.394176,4700.0,9900.0,25678262530.0,3008422383.0,0.1171583311,0.02715860955,110772327189.0,,,,,,,Crater Floor,Crater Floor,
scam_0181_0683003225_821_ca0_scam01181_manior_______________02p01.wav,Maaz,Rochette,0.06965,-10367.26232,0.9753651614,0.0007716598416,-7.932844555,7749.903019,6814.019777,6500.0,9200.0,3962204368.0,346720510.0,0.08750697284,0.0001440119835,2407580964063.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0181_0683005716_916_ca0_scam02181_grandes_tours_du_lac_01p01.wav,Maaz,Rochette,0.07188,-5338.194148,0.9297355217,0.001498634141,14.42030411,5552.409087,3654.148138,4500.0,7700.0,28861221980.0,1031770804.0,0.03574938041,0.03095784549,33328249672.0,,,,,,,Crater Floor,Crater Floor,
scam_0181_0683005884_912_ca0_scam02181_grandes_tours_du_lac_02p01.wav,Maaz,Rochette,0.07179,-9733.615132,0.9413272115,0.0008218940128,15.70484233,5839.047781,3623.573635,5000.0,7800.0,23843714058.0,903639444.8,0.03789843489,0.03340649961,27049809327.0,,,,,,,Crater Floor,Crater Floor,
scam_0182_0683091492_713_ca0_scam01182_lance________________01p01.wav,Maaz,Rochette,0.07064,-1717.585176,0.9801873894,0.004657702053,7.194371109,8620.164009,11358.52181,4900.0,10400.0,58518651822.0,5256350833.0,0.08982351215,0.03651895496,143934864483.0,,,,,,,Crater Floor,Crater Floor,
scam_0182_0683091689_749_ca0_scam01182_lance________________02p01.wav,Maaz,Rochette,0.07063,-2909.009188,0.9794693105,0.002750077254,11.67127402,10860.3862,12810.438,4600.0,23500.0,34138477346.0,3548052840.0,0.1039311977,0.06658915327,53282744490.0,,,,,,,Crater Floor,Crater Floor,
scam_0182_0683094296_931_ca0_scam02182_estoublon____________01p01.wav,Maaz,Rochette,0.06929,-1821.043834,0.9650707652,0.004393084806,11.07319589,7582.354458,7128.551161,4400.0,9100.0,32213193712.0,2319932829.0,0.07201809451,0.0579405707,40039868454.0,,,,,,,Crater Floor,Crater Floor,
scam_0182_0683094463_811_ca0_scam02182_estoublon____________02p01.wav,Maaz,Rochette,0.06924,-3848.872403,0.9281823639,0.002078530843,13.72071849,6374.991156,5761.192751,3500.0,8600.0,58811292847.0,5467556272.0,0.09296779594,0.07955189724,68729426473.0,,,,,,,Crater Floor,Crater Floor,
scam_0184_0683272842_931_ca0_scam03184_sauze________________01p01.wav,Maaz,Rochette,0.07535,-1074.292766,0.9691279213,0.007446759627,6.607220079,11355.51571,10869.26303,3200.0,21100.0,20766365196.0,10691248352.0,0.5148348423,0.1883146069,56773335469.0,,,,,,,Crater Floor,Crater Floor,
scam_0191_0683896643_201_ca0_scam02191_digne_les_bains______01p01.wav,Maaz,Rochette,0.0712,-3925.284194,0.8487697673,0.002038068992,14.91318516,7121.770966,7249.492543,7000.0,8500.0,34347731366.0,2242343271.0,0.06528359172,0.05695918121,39367547485.0,,,,,,,Crater Floor,Crater Floor,
scam_0191_0683896809_183_ca0_scam02191_digne_les_bains______02p01.wav,Maaz,Rochette,0.07131,-1286.731595,0.9776825747,0.006217302842,8.725920865,9274.188962,10586.43821,4500.0,10600.0,30264472328.0,3018438556.0,0.09973537696,0.02946179875,102452622866.0,,,,,,,Crater Floor,Crater Floor,
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,Maaz,Rochette,0.07405,-7060.102772,0.9533439272,0.001133127981,17.13304868,6127.492375,4682.160444,4800.0,8300.0,11130380759.0,722774066.8,0.06493704775,0.04002971122,18055940068.0,wider 3p5 sigma,,,,,,Crater Floor,Crater Floor,
scam_0193_0684066674_865_ca0_scam01193_pont_________________02p01.wav,Maaz,Rochette,0.07398,-486.8534635,0.7228633461,0.01643204907,12.64825181,6069.344163,4283.870577,3900.0,7800.0,11010704383.0,613376419.4,0.05570728249,0.047737896,12848836477.0,,,,,,,Crater Floor,Crater Floor,
scam_0193_0684074012_525_ca0_scam04193_souche_______________01p01.wav,Maaz,Rochette,0.07289,-3387.371505,0.9320572659,0.002361713201,14.49974555,6151.018034,3351.490994,5200.0,7700.0,39175241476.0,2504536991.0,0.06393162868,0.05776695864,43355874197.0,,,,,,,Crater Floor,Crater Floor,
scam_0193_0684074256_569_ca0_scam04193_souche_______________02p01.wav,Maaz,Rochette,0.07266,-7695.540965,0.8818238762,0.001039563045,17.20178078,6924.462989,3842.779047,6200.0,8600.0,30454452428.0,1693266665.0,0.05559997079,0.05146875986,32898921019.0,,,,,,,Crater Floor,Crater Floor,
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,Maaz,Rochette,0.07066,-1076.554591,0.9596606987,0.0074311141,9.956255021,10458.80151,11913.60693,4100.0,15100.0,21243144843.0,3071462635.0,0.144586061,0.07462539983,41158407752.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
scam_0200_0684689579_616_ca0_scam01200_ondres_______________02p01.wav,Maaz,Rochette,0.07066,-680.1135981,0.6834042431,0.01176274085,11.78785554,13657.47259,14520.51147,1000.0,35000.0,11371520921.0,3911272748.0,0.3439533529,0.02834762216,137975337940.0,,,,,,,Crater Floor,Crater Floor,
scam_0201_0684779623_772_ca0_scam01201_digne________________01p01.wav,Seitah,Undivided,0.07716,-5538.057514,0.9950302031,0.001444549823,-4.4907918,7063.491792,9008.846023,1500.0,10400.0,41024193306.0,6356962680.0,0.1549564334,0.003702867793,1716767390744.0,wider 3 sigma,,,,,,Crater Floor,Crater Floor,
