File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0131_0678564646_684_ca0_scam04131_cheval_blanc_________02p01.wav,0.08,True,False,0.07816,0.07905,0.8899999999999999,False
scam_0131_0678564646_684_ca0_scam04131_cheval_blanc_________02p01.wav,0.085,True,False,0.07806,0.07905,0.99,False
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.06,True,False,0.05386,0.05391,0.05,False
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.065,False,True,,,,
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.07,False,True,,,,
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.073,False,True,,,,
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.076,True,True,0.07578,0.07578,0.0,True
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.08,True,False,0.07536,0.07578,0.42000000000000004,False
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,0.085,False,True,,,,
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.06,True,True,0.05393,0.05938,5.45,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.065,False,True,,,,
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.07,True,False,0.07485,0.07555,0.7,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.073,True,False,0.07485,0.07555,0.7,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.076,True,False,0.07485,0.07555,0.7,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.08,True,False,0.07477,0.07555,0.78,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,0.085,False,True,,,,
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.06,True,True,0.05333,0.05879,5.46,False
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.065,True,True,0.05879,0.05879,0.0,True
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.07,False,True,,,,
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.073,False,True,,,,
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.076,True,True,0.07414,0.07414,0.0,True
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.08,True,False,0.074,0.07414,0.13999999999999999,False
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,0.085,True,True,0.0823,0.08618,3.8800000000000003,False
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.06,True,True,0.05405,0.05405,0.0,True
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.065,False,True,,,,
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.07,False,True,,,,
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.073,False,True,,,,
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.076,False,True,,,,
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.08,True,True,0.07559,0.07559,0.0,True
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,0.085,True,False,0.0865,0.08659,0.09000000000000001,False
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.06,True,False,0.05814,0.05893,0.79,False
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.065,True,False,0.05838,0.05893,0.55,False
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.07,False,True,,,,
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.073,False,True,,,,
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.076,True,True,0.07065,0.07065,0.0,True
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.08,True,True,0.08021,0.08601,5.8,False
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,0.085,True,True,0.08021,0.08601,5.8,False
