File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.08,True,False,0.0852,0.08564,0.44,False
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,0.085,True,False,0.0852,0.08564,0.44,False
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.06,True,False,0.05536,0.05559,0.23,False
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.065,True,False,0.0583,0.0584,0.1,False
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.07,False,True,,,,
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.073,False,True,,,,
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.076,True,False,0.08283,0.08288,0.05,False
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.08,True,False,0.08283,0.08288,0.05,False
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,0.085,True,False,0.08283,0.08288,0.05,False
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.06,True,False,0.05573,0.05597,0.24000000000000002,False
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.065,False,True,,,,
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.07,False,True,,,,
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.073,False,True,,,,
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.076,True,True,0.07888,0.08261,3.73,False
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.08,True,True,0.07888,0.08261,3.73,False
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,0.085,True,True,0.07888,0.08261,3.73,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.06,True,True,0.05332,0.05932,6.0,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.065,True,True,0.05932,0.05932,0.0,True
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.07,True,True,0.0743,0.07591,1.61,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.073,True,True,0.0743,0.07591,1.61,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.076,True,True,0.0743,0.07591,1.61,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.08,True,True,0.07428,0.07591,1.63,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,0.085,False,True,,,,
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.06,True,True,0.05323,0.059,5.77,False
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.065,True,True,0.059,0.059,0.0,True
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.07,True,True,0.07447,0.07592,1.45,False
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.073,True,True,0.07447,0.07592,1.45,False
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.076,True,True,0.07447,0.07592,1.45,False
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.08,True,True,0.07403,0.07592,1.89,False
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,0.085,False,True,,,,
