Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0441_0706089478_536_ca0_scam01441_little_devils_stairs_01p__2.0.zip,scam_0441_0706089478_536_ca0_scam01441_little_devils_stairs_01p02.fits,scam_0441_0706089478_536_ca0_scam01441_little_devils_stairs_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0441_0706090425_650_ca0_scam02441_bald_face_mountain___01p__2.0.zip,scam_0441_0706090425_650_ca0_scam02441_bald_face_mountain___01p02.fits,scam_0441_0706090425_650_ca0_scam02441_bald_face_mountain___01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p__2.0.zip,scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p02.fits,scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p__2.0.zip,scam_0442_0706167034_662_ca0_scam15012_aegis_0442b__________01p02.fits,scam_0442_0706167034_662_ca0_scam15012_aegis_0442b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0443_0706267744_278_ca0_scam05443_moody_creek__________01p__2.0.zip,scam_0443_0706267744_278_ca0_scam05443_moody_creek__________01p02.fits,scam_0443_0706267744_278_ca0_scam05443_moody_creek__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0448_0706711828_368_ca0_scam04448_buzzard_rocks_scam_4_01p__2.0.zip,scam_0448_0706711828_368_ca0_scam04448_buzzard_rocks_scam_4_01p02.fits,scam_0448_0706711828_368_ca0_scam04448_buzzard_rocks_scam_4_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p__2.0.zip,scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p02.fits,scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p__2.0.zip,scam_0449_0706784270_740_ca0_scam15012_aegis_0449b__________01p02.fits,scam_0449_0706784270_740_ca0_scam15012_aegis_0449b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0449_0706799447_617_ca0_scam03449_south_river__________01p__2.0.zip,scam_0449_0706799447_617_ca0_scam03449_south_river__________01p02.fits,scam_0449_0706799447_617_ca0_scam03449_south_river__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p__2.0.zip,scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p02.fits,scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0450_0706878610_992_ca0_scam15012_aegis_0450a__________01p__2.0.zip,scam_0450_0706879712_991_ca0_scam15012_aegis_0450b__________01p02.fits,scam_0450_0706879712_991_ca0_scam15012_aegis_0450b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0451_0706979740_413_ca0_scam02451_marys_rock___________01p__2.0.zip,scam_0451_0706979740_413_ca0_scam02451_marys_rock___________01p02.fits,scam_0451_0706979740_413_ca0_scam02451_marys_rock___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0452_0707066669_695_ca0_scam07452_big_river____________01p__2.0.zip,scam_0452_0707066669_695_ca0_scam07452_big_river____________01p02.fits,scam_0452_0707066669_695_ca0_scam07452_big_river____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0453_0707157719_889_ca0_scam02453_battle_river_________01p__2.0.zip,scam_0453_0707157719_889_ca0_scam02453_battle_river_________01p02.fits,scam_0453_0707157719_889_ca0_scam02453_battle_river_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0454_0707245904_310_ca0_scam04454_steller______________01p__2.0.zip,scam_0454_0707245904_310_ca0_scam04454_steller______________01p02.fits,scam_0454_0707245904_310_ca0_scam04454_steller______________01p02.wav,OK,29,6000,174000,1.74,
