Unit,File Name,Path,Status,Flagged,Sample Rate (Hz),Samples,Duration (s),Number of Shots,Observation Type,Search Start (s),Search End (s),Onset Sample,Onset (s),Onset Within Shot1 (ms),Peak Sample,Peak Time (s),Peak-Onset Lag (ms),Response Stop (s),Response Duration (ms),Slope (dB/s),Decay Rate (-Slope) (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
Delta,scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7597.0,0.07597,15.969999999999999,7649.0,0.07649,0.5199999999999999,0.08596999999999999,9.999999999999995,-7458.377309685018,7458.377309685018,0.8793602838577108,0.001072619373869925,15.605732935880807,5299.164543263192,1817.1959444167514,5800.0,6400.0,3.1784742623315743,0.05809164094516507,0.018276580569997085,0.017948452072825197,3.236582224999701
Delta,scam_0465_0708221048_464_ca0_scam01465_calvary_rocks________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0465_0708221048_464_ca0_scam01465_calvary_rocks________01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7089.0,0.07089,10.889999999999997,7089.0,0.07089,0.0,0.08088999999999999,9.999999999999995,-2744.46723552169,2744.46723552169,0.9723979593853723,0.0029149555500083417,-1.368694536492023,7520.838628389397,4061.0250862266616,6800.0,10800.0,0.020095319536319513,0.004859570410775707,0.24182598350788626,0.1947113509787708,0.024957817745846475
Delta,scam_0465_0708223515_853_ca0_scam02465_lighted_top__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0465_0708223515_853_ca0_scam02465_lighted_top__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7024.0,0.07024,10.239999999999998,7076.0,0.07076,0.5199999999999999,0.08023999999999999,9.999999999999995,-7684.8847114935415,7684.8847114935415,0.7718127254462168,0.0010410045563904388,17.187410599378868,6262.457496833263,2881.6304363327345,3900.0,8700.0,4.9258871447196855,0.35786954600942106,0.0726507805589984,0.06772935544194593,5.283817388697404
Delta,scam_0471_0708740988_825_ca0_scam01471_pinefield_gap________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0471_0708740988_825_ca0_scam01471_pinefield_gap________01p02.wav,LONG PEAK-ONSET LAG,True,100000,744000,7.44,124,124-shot,0.06899999999999999,0.079,7028.0,0.07028,10.279999999999998,7072.0,0.07072,0.44,0.08027999999999999,9.999999999999995,-6906.000673302383,6906.000673302383,0.9045567818308718,0.0011584128612855285,16.504902969277467,6711.425262933562,2871.886179968018,5300.0,9500.0,10.962612763749343,1.2039344486415238,0.10982185310992996,0.09895325100694637,12.16669928870765
Delta,scam_0472_0708829531_841_ca0_scam01472_lefthand_hollow______01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0472_0708829531_841_ca0_scam01472_lefthand_hollow______01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7303.0,0.07303,13.03,7360.0,0.0736,0.57,0.08302999999999999,9.999999999999995,-14801.622872366328,14801.622872366328,0.7268589330145012,0.0005404812748563863,17.45100751713609,6282.13180719203,2341.572576992782,4200.0,8700.0,5.738114168913934,0.33674609679362194,0.05868584815163388,0.055432560941249764,6.074878935334099
Delta,scam_0473_0708931198_901_ca0_scam05473_elkwallow_gap_473_sc_01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0473_0708931198_901_ca0_scam05473_elkwallow_gap_473_sc_01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7000.0,0.07,10.000000000000009,7056.0,0.07056,0.5599999999999999,0.08,9.999999999999995,-11541.41733790783,11541.41733790783,0.9541240107995842,0.0006931557681155823,17.80365983758575,6353.375489950343,2955.9665881062188,4800.0,9700.0,5.048667974579885,0.82385251243336,0.16318215350691886,0.140285979231404,5.872664659341344
Delta,scam_0473_0708938254_591_ca0_scam08473_fox_hollow___________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0473_0708938254_591_ca0_scam08473_fox_hollow___________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6951.0,0.06951,9.510000000000005,7004.0,0.07004,0.53,0.07951,9.999999999999995,-4008.241203970902,4008.241203970902,0.9331813768385907,0.0019958878702395766,12.297632629235157,6867.635687822869,2680.8738300597224,4300.0,8800.0,8.59888332264882,0.7285516979535529,0.08472631510589308,0.07810752378800286,9.327548264504793
Delta,scam_0476_0709196462_557_ca0_scam01476_fourway_476_scam_____01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0476_0709196462_557_ca0_scam01476_fourway_476_scam_____01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6942.0,0.06942,9.419999999999998,6988.0,0.06988,0.46,0.07941999999999999,9.999999999999995,-6308.406272634352,6308.406272634352,0.9838783153469918,0.0012681491416784178,17.394366994370092,6597.523113508318,2859.7715980188073,4900.0,9200.0,7.749098849570811,0.8695980818592888,0.1122192526821944,0.10089594778515526,8.618761218349267
Delta,scam_0477_0709285254_248_ca0_scam04477_oventop_mountain_____01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0477_0709285254_248_ca0_scam04477_oventop_mountain_____01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6968.0,0.06968,9.680000000000009,6968.0,0.06968,0.0,0.07968,9.999999999999995,-3704.8214415549264,3704.8214415549264,0.9444700727433809,0.002159348331951559,-3.1371532169708756,9190.570838850133,5030.655647193196,4100.0,14000.0,0.04668487874255959,0.028398567840564902,0.6083033437264936,0.3782188299111648,0.07508501849903955
Delta,scam_0482_0709729164_771_ca0_scam01482_goat_hollow__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0482_0709729164_771_ca0_scam01482_goat_hollow__________01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7270.0,0.0727,12.700000000000003,7270.0,0.0727,0.0,0.0827,9.999999999999995,-6250.599732196747,6250.599732196747,0.9828426277231535,0.0012798771866309273,-4.096785117048091,6442.331982794112,4237.014505649022,3800.0,10400.0,0.02387077792036633,0.0044609588904439374,0.18687949363551692,0.15744158734451993,0.028334056875851298
Delta,scam_0482_0709743942_179_ca0_scam04482_otter_lake___________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0482_0709743942_179_ca0_scam04482_otter_lake___________01p02.wav,NO PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
Delta,scam_0489_0710352197_772_ca0_scam01489_shop_hollow_489______01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0489_0710352197_772_ca0_scam01489_shop_hollow_489______01p02.wav,NO PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
Delta,scam_0489_0710354497_865_ca0_scam02489_sawlog_ridge_489_____01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0489_0710354497_865_ca0_scam02489_sawlog_ridge_489_____01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6990.0,0.0699,9.900000000000006,7062.0,0.07062,0.7200000000000001,0.0799,9.999999999999995,-23657.879412278784,23657.879412278784,0.9268739131922334,0.0003381537229346043,18.408266872089552,6434.221581522523,2875.1794216027447,4500.0,8900.0,10.862315813747156,1.2569324128321437,0.11571495750854456,0.10371167851945845,12.119487706452627
Delta,scam_0507_0711949371_709_ca0_scam07507_spitler_hill_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0507_0711949371_709_ca0_scam07507_spitler_hill_________01p02.wav,NO PEAK,True,100000,54000,0.54,9,9-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
