File Name,Setting,Found,Flagged,Onset (s),Peak Time (s),Peak-Onset Lag (ms),Forced Peak,Truncated
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,very_wide_soft,True,True,0.06138,0.06138,0.0,True,False
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,original,True,True,0.07146,0.07187,0.41,False,False
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,wider_3p5sigma,True,False,0.07146,0.07187,0.41,False,False
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,wider_3sigma,True,False,0.07146,0.07187,0.41,False,False
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,very_wide_soft,True,False,0.07146,0.07154,0.08,False,False
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,original,True,True,0.0715,0.07192,0.42000000000000004,False,False
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,wider_3p5sigma,True,False,0.0715,0.07192,0.42000000000000004,False,False
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,wider_3sigma,True,False,0.07151,0.07192,0.41,False,False
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,very_wide_soft,True,True,0.05895,0.05895,0.0,True,False
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,original,True,True,0.07527,0.07527,0.0,True,False
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,wider_3p5sigma,True,True,0.07527,0.07527,0.0,True,False
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,wider_3sigma,True,True,0.07527,0.07527,0.0,True,False
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,very_wide_soft,True,True,0.06857,0.0753,6.7299999999999995,False,False
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,original,True,True,0.07274,0.07274,0.0,True,False
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,wider_3p5sigma,True,True,0.06875,0.07274,3.9899999999999998,False,False
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,wider_3sigma,True,True,0.06875,0.07274,3.9899999999999998,False,False
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,very_wide_soft,True,True,0.06885,0.07277,3.92,False,False
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,original,True,True,0.07266,0.07266,0.0,True,False
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,wider_3p5sigma,True,True,0.07266,0.07266,0.0,True,False
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,wider_3sigma,True,True,0.07266,0.07266,0.0,True,False
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,very_wide_soft,True,True,0.05888,0.06087,1.99,False,False
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,original,True,True,0.07299,0.07299,0.0,True,False
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,wider_3p5sigma,True,True,0.07299,0.07299,0.0,True,False
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,wider_3sigma,True,True,0.07299,0.07299,0.0,True,False
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,very_wide_soft,True,False,0.06077,0.06086,0.09000000000000001,False,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,original,True,True,0.07477,0.07555,0.78,False,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,wider_3p5sigma,True,False,0.07483,0.07555,0.7200000000000001,False,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,wider_3sigma,True,False,0.07485,0.07555,0.7,False,False
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,very_wide_soft,True,True,0.05939,0.05939,0.0,True,False
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,original,True,True,0.07404,0.07445,0.41,False,False
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,wider_3p5sigma,True,False,0.07405,0.07445,0.4,False,False
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,wider_3sigma,True,False,0.07404,0.07445,0.41,False,False
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,very_wide_soft,True,False,0.07404,0.07445,0.41,False,False
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,original,True,True,0.06951,0.07074,1.23,False,False
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,wider_3p5sigma,True,False,0.07065,0.07074,0.09000000000000001,False,False
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,wider_3sigma,True,False,0.07066,0.07074,0.08,False,False
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,very_wide_soft,True,False,0.0594,0.06005,0.65,False,False
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,original,True,True,0.07663,0.07663,0.0,True,False
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,wider_3p5sigma,True,True,0.07323,0.07663,3.4,False,False
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,wider_3sigma,True,True,0.07302,0.07663,3.61,False,False
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,very_wide_soft,True,True,0.073,0.07666,3.66,False,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,original,True,True,0.06886,0.06991,1.05,False,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,wider_3p5sigma,True,True,0.06887,0.06991,1.0399999999999998,False,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,wider_3sigma,True,True,0.06884,0.06991,1.07,False,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,very_wide_soft,True,True,0.05938,0.05938,0.0,True,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,original,True,True,0.06906,0.07198,2.92,False,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,wider_3p5sigma,True,True,0.06907,0.07198,2.9099999999999997,False,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,wider_3sigma,True,True,0.06915,0.07198,2.83,False,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,very_wide_soft,True,True,0.05894,0.05894,0.0,True,False
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,original,True,True,0.07177,0.07177,0.0,True,False
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,wider_3p5sigma,True,True,0.07177,0.07177,0.0,True,False
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,wider_3sigma,True,True,0.07177,0.07177,0.0,True,False
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,very_wide_soft,True,False,0.07173,0.0718,0.06999999999999999,False,False
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,original,True,True,0.07339,0.0738,0.41,False,False
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,wider_3p5sigma,True,False,0.07339,0.0738,0.41,False,False
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,wider_3sigma,True,False,0.07339,0.0738,0.41,False,False
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,very_wide_soft,True,False,0.07339,0.0738,0.41,False,False
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,original,True,True,0.07372,0.07372,0.0,True,False
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,wider_3p5sigma,False,True,,,,,
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,wider_3sigma,False,True,,,,,
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,very_wide_soft,True,False,0.05866,0.05892,0.25999999999999995,False,False
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,original,True,True,0.07444,0.07444,0.0,True,False
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,wider_3p5sigma,True,True,0.07444,0.07444,0.0,True,False
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,wider_3sigma,True,True,0.07444,0.07444,0.0,True,False
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,very_wide_soft,True,True,0.05935,0.06086,1.51,False,False
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,original,True,True,0.07121,0.07256,1.35,False,False
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,wider_3p5sigma,True,True,0.07122,0.07256,1.34,False,False
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,wider_3sigma,True,False,0.07223,0.07256,0.33,False,False
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,very_wide_soft,True,False,0.07223,0.07254,0.31,False,False
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,original,True,True,0.07028,0.07237,2.09,False,False
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,wider_3p5sigma,True,True,0.07028,0.07237,2.09,False,False
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,wider_3sigma,True,True,0.07028,0.07237,2.09,False,False
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,very_wide_soft,True,False,0.07226,0.07238,0.12000000000000001,False,False
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,original,True,True,0.07211,0.07252,0.41,False,False
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,wider_3p5sigma,True,False,0.07211,0.07252,0.41,False,False
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,wider_3sigma,True,False,0.07246,0.07252,0.060000000000000005,False,False
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,very_wide_soft,True,False,0.07247,0.07255,0.08,False,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,original,True,True,0.07503,0.07709,2.06,False,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,wider_3p5sigma,True,False,0.07658,0.07709,0.51,False,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,wider_3sigma,True,False,0.07661,0.07709,0.48000000000000004,False,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,very_wide_soft,True,True,0.06081,0.06081,0.0,True,False
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,original,True,True,0.06907,0.06953,0.46,False,False
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,wider_3p5sigma,True,True,0.06953,0.06953,0.0,True,False
