File Name,,,,,,
scam_0037_0670224376_725_ca0_scam01037_hedgehog_____________02p01.wav,TRUE,0.06829,-7764.652043,0.9611140539,0.001030310174,-14.18534606
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,TRUE,0.06956,-1972.3951,0.971751354,0.004055982496,-1.828589805
scam_0071_0673238205_695_ca0_scam05071_hadahastsaa__________02p01.wav,TRUE,0.07146,-1765.439119,0.9066721309,0.004531450512,11.806206
scam_0086_0674573256_865_ca0_scam05086_naatsiilid___________02p01.wav,TRUE,0.07446,-637.2660834,0.4619361667,0.01255362588,6.573052167
scam_0088_0674752882_228_ca0_scam01088_tsostid_tsaadah______01p01.wav,TRUE,0.06869,-4018.159695,0.7575004742,0.001990961188,7.397274377
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,TRUE,0.07292,-3308.94345,0.7770385313,0.002417690154,4.658845056
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,TRUE,0.07466,-6555.67474,0.9732812736,0.001220316797,-8.331851552
scam_0107_0676443644_665_ca0_scam02107_ad_ilidi_____________02p01.wav,TRUE,0.06948,-4735.23458,0.9723406384,0.001689462236,8.53145292
scam_0108_0676523575_279_ca0_scam01108_jih__________________01p01.wav,TRUE,0.07057,-3439.816891,0.9545057942,0.002325705191,0.9919747088
scam_0110_0676703142_539_ca0_scam03110_naakih_tsaadah_______02p01.wav,TRUE,0.07651,-4052.89656,0.9785829706,0.001973896911,-0.257507787
scam_0112_0676881366_146_ca0_scam02112_tseebii______________01p01.wav,TRUE,0.07165,-2611.240495,0.9060837096,0.003063677978,13.47902223
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,TRUE,0.07155,-1207.49283,0.7449097223,0.006625298141,12.89296954
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,TRUE,0.07146,-8428.048718,0.9689368151,0.0009492114091,15.50988051
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,TRUE,0.0715,-6667.726084,0.895271664,0.001199809335,15.05312043
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,TRUE,0.07527,-8975.706448,0.9467226971,0.0008912947461,-2.557406342
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,TRUE,0.07274,-1490.92317,0.9460044342,0.005365802989,2.169549696
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,TRUE,0.07266,-2917.440933,0.8582550339,0.00274212921,15.09112313
